,Unit Id,School,Applicatin_Status,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002
1778,164076,Towson University,Number admitted,9427,9854,8773,8033,10738,10710,9462,8610,8954,9696,9609,9078,9150,7541,7169,5125,6263
1779,164076,Towson University,Number admitted who enrolled,2996,2741,2755,2714,2712,2748,2464,2543,2431,2405,2832,2665,2696,2327,2097,1754,2209
1780,164076,Towson University,Percent of applicants admitted,79.0%,77.3%,73.7%,73.4%,59.2%,60.3%,52.2%,54.2%,57.0%,62.9%,61.2%,59.9%,69.0%,64.2%,67.2%,44.2%,57.9%
1781,164076,Towson University,Percent of admitted who enrolled,31.8%,27.8%,31.4%,33.8%,25.3%,25.7%,26.0%,29.5%,27.1%,24.8%,29.5%,29.4%,29.5%,30.9%,29.3%,34.2%,35.3%
1806,166513,University of Massachusetts-Lowell,Reporting period,,,,,,Fall 2013,Fall 2012,Fall 2011,Fall 2010,Fall 2008,Fall 2007,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2002,Fall 2001
1807,166513,University of Massachusetts-Lowell,Number of applicants,12187,11181,11321,10689,9394,9126,8033,7566,7284,5549,6342,5016,4546,4815,3931,4233,3286
1808,166513,University of Massachusetts-Lowell,Number admitted,8754,7696,6857,6070,5825,5838,5282,4878,5359,4174,4513,3497,3178,1972,2598,2630,2284
1809,166513,University of Massachusetts-Lowell,Number admitted who enrolled,2117,2039,1738,1633,1648,1648,1500,1438,1634,1528,1243,1296,1234,1087,1015,1020,979
1810,166513,University of Massachusetts-Lowell,Percent of applicants admitted,71.8%,68.8%,60.6%,56.8%,62.0%,64.0%,65.8%,64.5%,73.6%,75.2%,71.2%,69.7%,69.9%,41.0%,66.1%,62.1%,69.5%
1811,166513,University of Massachusetts-Lowell,Percent of admitted who enrolled,24.2%,26.5%,25.3%,26.9%,28.3%,28.2%,28.4%,29.5%,30.5%,36.6%,27.5%,37.1%,38.8%,55.1%,39.1%,38.8%,42.9%
1878,169248,Central Michigan University,Reporting period,,,,,,Fall 2013,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2005,Fall 2005,Fall 2004,Fall 2003,Fall 2002
1879,169248,Central Michigan University,Number of applicants,17858,19021,19160,18575,18320,19262,18358,18509,16830,17223,17105,15220,13550,13550,13593,13489,12717
1880,169248,Central Michigan University,Number admitted,12293,12887,13711,12770,12691,12143,12655,12670,15503,12406,11921,11155,10198,10198,10106,9490,9076
1881,169248,Central Michigan University,Number admitted who enrolled,2732,3076,3519,3486,3811,2963,3345,3838,4173,3724,3899,3819,3738,3738,3755,3680,3626
1882,169248,Central Michigan University,Percent of applicants admitted,68.8%,67.8%,71.6%,68.7%,69.3%,63.0%,68.9%,68.5%,92.1%,72.0%,69.7%,73.3%,75.3%,75.3%,74.3%,70.4%,71.4%
1883,169248,Central Michigan University,Percent of admitted who enrolled,22.2%,23.9%,25.7%,27.3%,30.0%,24.4%,26.4%,30.3%,26.9%,30.0%,32.7%,34.2%,36.7%,36.7%,37.2%,38.8%,40.0%
1884,169798,Eastern Michigan University,Reporting period,,,,,,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002,Fall 2001
1885,169798,Eastern Michigan University,Number of applicants,14577,16126,14796,14236,12360,11929,12783,10329,10341,9751,9736,9916,10157,8485,8903,8948,9218
1886,169798,Eastern Michigan University,Number admitted,11035,7214,10784,10645,8512,7632,7641,6852,5463,7083,7290,7854,8047,6180,7173,6641,6796
1887,169798,Eastern Michigan University,Number admitted who enrolled,2395,2811,2801,2872,2627,2636,2164,2012,2247,2215,2415,2340,2360,2343,2550,2659,2923
1888,169798,Eastern Michigan University,Percent of applicants admitted,75.7%,44.7%,72.9%,74.8%,68.9%,64.0%,59.8%,66.3%,52.8%,72.6%,74.9%,79.2%,79.2%,72.8%,80.6%,74.2%,73.7%
1889,169798,Eastern Michigan University,Percent of admitted who enrolled,21.7%,39.0%,26.0%,27.0%,30.9%,34.5%,28.3%,29.4%,41.1%,31.3%,33.1%,29.8%,29.3%,37.9%,35.5%,40.0%,43.0%
1932,171100,Michigan State University,Reporting period,,,,,,Fall 2013,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002
1933,171100,Michigan State University,Number of applicants,33129,36143,37480,35300,33211,31479,30224,28416,26907,25395,25589,24436,23247,21844,21834,24973,25210
1934,171100,Michigan State University,Number admitted,25733,25860,24641,23397,21950,21610,21327,20728,18829,18392,17919,18040,17046,16686,17343,17690,16977
1935,171100,Michigan State University,Number admitted who enrolled,8688,8366,8190,8173,8055,8061,8354,7984,7375,7416,7555,7541,7440,7485,7607,7122,7000
1936,171100,Michigan State University,Percent of applicants admitted,77.7%,71.5%,65.7%,66.3%,66.1%,68.6%,70.6%,72.9%,70.0%,72.4%,70.0%,73.8%,73.3%,76.4%,79.4%,70.8%,67.3%
1937,171100,Michigan State University,Percent of admitted who enrolled,33.8%,32.4%,33.2%,34.9%,36.7%,37.3%,39.2%,38.5%,39.2%,40.3%,42.2%,41.8%,43.6%,44.9%,43.9%,40.3%,41.2%
1968,171571,Oakland University,Reporting period,,,,,,Fall 2013,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002
1969,171571,Oakland University,Number of applicants,12309,10296,10688,10162,12528,12019,12152,10272,9991,10070,7695,6914,6571,6014,6293,6321,5733
1970,171571,Oakland University,Number admitted,10328,8691,9229,8169,8394,7933,7551,6941,6704,6912,6022,5593,5323,4930,5120,5079,4461
1971,171571,Oakland University,Number admitted who enrolled,2700,2456,2595,2713,2559,2569,2464,2361,2311,2466,2350,2340,2287,2213,2053,2101,1868
1972,171571,Oakland University,Percent of applicants admitted,83.9%,84.4%,86.3%,80.4%,67.0%,66.0%,62.1%,67.6%,67.1%,68.6%,78.3%,80.9%,81.0%,82.0%,81.4%,80.4%,77.8%
1973,171571,Oakland University,Percent of admitted who enrolled,26.1%,28.3%,28.1%,33.2%,30.5%,32.4%,32.6%,34.0%,34.5%,35.7%,39.0%,41.8%,43.0%,44.9%,40.1%,41.4%,41.9%
1992,172699,Western Michigan University,Reporting period,,,,,,Fall 2013,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002
1993,172699,Western Michigan University,Number of applicants,17051,14263,13613,15175,14008,14621,13985,14413,13901,12379,12884,11827,11830,12928,14110,15100,15832
1994,172699,Western Michigan University,Number admitted,13829,11741,11205,12501,11775,12113,11654,11986,11724,10253,10938,10205,10144,11045,11994,12423,12683
1995,172699,Western Michigan University,Number admitted who enrolled,3023,3178,2930,2988,3012,3190,3026,3166,3397,3193,3828,3506,3544,3741,3761,4258,4474
1996,172699,Western Michigan University,Percent of applicants admitted,81.1%,82.3%,82.3%,82.4%,84.1%,82.8%,83.3%,83.2%,84.3%,82.8%,84.9%,86.3%,85.7%,85.4%,85.0%,82.3%,80.1%
1997,172699,Western Michigan University,Percent of admitted who enrolled,21.9%,27.1%,26.1%,23.9%,25.6%,26.3%,26.0%,26.4%,29.0%,31.1%,35.0%,34.4%,34.9%,33.9%,31.4%,34.3%,35.3%
2022,174066,University of Minnesota-Twin Cities,Reporting period,,,,,,Fall 2013,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002
2023,174066,University of Minnesota-Twin Cities,Number of applicants,43460,43731,49129,46165,44760,43048,38174,39720,36853,33910,29173,26096,24663,20573,18537,17180,14724
2024,174066,University of Minnesota-Twin Cities,Number admitted,22541,21692,21820,20579,20300,19121,18900,18505,17613,16960,15324,14823,14165,14309,13707,13059,10967
2025,174066,University of Minnesota-Twin Cities,Number admitted who enrolled,5979,6201,5880,5771,5530,5544,5514,5368,5323,5400,5107,5280,5439,5305,5588,5186,5185
2026,174066,University of Minnesota-Twin Cities,Percent of applicants admitted,51.9%,49.6%,44.4%,44.6%,45.4%,44.4%,49.5%,46.6%,47.8%,50.0%,52.5%,56.8%,57.4%,69.6%,73.9%,76.0%,74.5%
2027,174066,University of Minnesota-Twin Cities,Percent of admitted who enrolled,26.5%,28.6%,26.9%,28.0%,27.2%,29.0%,29.2%,29.0%,30.2%,31.8%,33.3%,35.6%,38.4%,37.1%,40.8%,39.7%,47.3%
2076,175342,Alcorn State University,Reporting period,,,,,,Fall 2013,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002
2077,175342,Alcorn State University,Number of applicants,4314,3464,2078,3010,2078,2265,3663,4535,4358,3195,3065,3553,5260,2335,6802,4391,3887
2078,175342,Alcorn State University,Number admitted,3853,2723,1630,2425,1630,1878,1726,1652,1486,1291,2619,2268,1827,1581,2391,1501,822
2079,175342,Alcorn State University,Number admitted who enrolled,615,742,536,631,517,575,581,687,599,464,401,513,542,497,562,485,359
2080,175342,Alcorn State University,Percent of applicants admitted,89.3%,78.6%,78.4%,80.6%,78.4%,82.9%,47.1%,36.4%,34.1%,40.4%,85.4%,63.8%,34.7%,67.7%,35.2%,34.2%,21.1%
2081,175342,Alcorn State University,Percent of admitted who enrolled,16.0%,27.2%,32.9%,26.0%,31.7%,30.6%,33.7%,41.6%,40.3%,35.9%,15.3%,22.6%,29.7%,31.4%,23.5%,32.3%,43.7%
2088,175856,Jackson State University,Reporting period,,,,,,Fall 2013,Fall 2012,Fall 2011,Fall 2009,Fall 2008,Fall 2007,Fall 2007,Fall 2006,Fall 2004,Fall 2003,Fall 2003,Fall 2002
2089,175856,Jackson State University,Number of applicants,7680,6282,9390,8035,5588,5325,10141,8432,8002,8863,6499,6499,10292,8141,5966,8263,6679
2090,175856,Jackson State University,Number admitted,5294,4506,5946,5425,3938,3442,2458,2643,4290,4298,2341,2341,4238,3873,2530,1037,2504
2091,175856,Jackson State University,Number admitted who enrolled,831,933,1292,1235,1196,1103,873,854,865,853,926,926,844,1010,949,955,1013
2092,175856,Jackson State University,Percent of applicants admitted,68.9%,71.7%,63.3%,67.5%,70.5%,64.6%,24.2%,31.3%,53.6%,48.5%,36.0%,36.0%,41.2%,47.6%,42.4%,12.5%,37.5%
2093,175856,Jackson State University,Percent of admitted who enrolled,15.7%,20.7%,21.7%,22.8%,30.4%,32.0%,35.5%,32.3%,20.2%,19.8%,39.6%,39.6%,19.9%,26.1%,37.5%,92.1%,40.5%
2094,176017,University of Mississippi,Reporting period,,,,,,Fall 2013,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002,Fall 2002
2095,176017,University of Mississippi,Number of applicants,15371,17416,17918,18059,16101,14258,13934,13321,10909,8595,7946,7921,6763,6662,6490,7603,7603
2096,176017,University of Mississippi,Number admitted,13535,14614,14029,14217,13077,11484,8507,10524,8479,6839,6630,6644,4942,5410,5251,5114,5114
2097,176017,University of Mississippi,Number admitted who enrolled,3421,3694,3964,3966,3809,3582,3373,3569,3088,2576,2473,2570,2192,2270,2427,2257,2257
2098,176017,University of Mississippi,Percent of applicants admitted,88.1%,83.9%,78.3%,78.7%,81.2%,80.5%,61.1%,79.0%,77.7%,79.6%,83.4%,83.9%,73.1%,81.2%,80.9%,67.3%,67.3%
2099,176017,University of Mississippi,Percent of admitted who enrolled,25.3%,25.3%,28.3%,27.9%,29.1%,31.2%,39.6%,33.9%,36.4%,37.7%,37.3%,38.7%,44.4%,42.0%,46.2%,44.1%,44.1%
2106,176044,Mississippi Valley State University,Reporting period,,,,,,Fall 2013,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002
2107,176044,Mississippi Valley State University,Number of applicants,2540,2310,2605,2310,2473,6229,4740,4278,5539,6086,5157,3341,3739,4832,4183,3486,3783
2108,176044,Mississippi Valley State University,Number admitted,2192,1993,2200,1748,1901,1415,1128,690,1577,1796,1276,848,1197,1226,1039,3447,711
2109,176044,Mississippi Valley State University,Number admitted who enrolled,380,405,393,370,471,493,392,328,394,417,453,490,458,407,387,422,270
2110,176044,Mississippi Valley State University,Percent of applicants admitted,86.3%,86.3%,84.5%,75.7%,76.9%,22.7%,23.8%,16.1%,28.5%,29.5%,24.7%,25.4%,32.0%,25.4%,24.8%,98.9%,18.8%
2111,176044,Mississippi Valley State University,Percent of admitted who enrolled,17.3%,20.3%,17.9%,21.2%,24.8%,34.8%,34.8%,47.5%,25.0%,23.2%,35.5%,57.8%,38.3%,33.2%,37.2%,12.2%,38.0%
2112,176080,Mississippi State University,Reporting period,,,,,,Fall 2013,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2005,Fall 2005,Fall 2004,Fall 2003,Fall 2002
2113,176080,Mississippi State University,Number of applicants,17381,13973,14012,12446,10766,11191,10462,9862,9300,11281,7479,6098,5778,5778,5245,4646,4772
2114,176080,Mississippi State University,Number admitted,9893,8719,7801,8120,7646,7254,6502,6192,5158,6415,4273,3879,3982,3982,3568,3493,3469
2115,176080,Mississippi State University,Number admitted who enrolled,3565,3435,3624,3471,2974,3156,2894,2898,2707,2450,3313,2281,1966,1966,1753,1688,1759
2116,176080,Mississippi State University,Percent of applicants admitted,56.9%,62.4%,55.7%,65.2%,71.0%,64.8%,62.1%,62.8%,55.5%,56.9%,57.1%,63.6%,68.9%,68.9%,68.0%,75.2%,72.7%
2117,176080,Mississippi State University,Percent of admitted who enrolled,36.0%,39.4%,46.5%,42.7%,38.9%,43.5%,44.5%,46.8%,52.5%,38.2%,77.5%,58.8%,49.4%,49.4%,49.1%,48.3%,50.7%
2118,176372,University of Southern Mississippi,Reporting period,,,,,,Fall 2013,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2001
2119,176372,University of Southern Mississippi,Number of applicants,8550,6372,5180,6046,5850,6120,7099,6426,5895,5107,5334,4652,5709,5179,4862,4997,6034
2120,176372,University of Southern Mississippi,Number admitted,8369,6272,3115,3509,3904,4058,4581,4060,3641,2869,2919,2678,3328,1924,3139,3078,1505
2121,176372,University of Southern Mississippi,Number admitted who enrolled,2080,1903,1558,1527,1607,1746,1945,1727,1591,1602,1527,1396,1587,1348,1546,1547,1505
2122,176372,University of Southern Mississippi,Percent of applicants admitted,97.9%,98.4%,60.1%,58.0%,66.7%,66.3%,64.5%,63.2%,61.8%,56.2%,54.7%,57.6%,58.3%,37.2%,64.6%,61.6%,24.9%
2123,176372,University of Southern Mississippi,Percent of admitted who enrolled,24.9%,30.3%,50.0%,43.5%,41.2%,43.0%,42.5%,42.5%,43.7%,55.8%,52.3%,52.1%,47.7%,70.1%,49.3%,50.3%,100.0%
2154,178396,University of Missouri-Columbia,Reporting period,,,,,,Fall 2013,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2006,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002
2155,178396,University of Missouri-Columbia,Number of applicants,18948,16367,21107,21988,21163,20956,20564,18103,20664,16455,14491,13102,13102,12404,12659,11677,11569
2156,178396,University of Missouri-Columbia,Number admitted,14750,12781,15767,17180,16437,16473,16752,14690,16730,13659,12327,10228,10228,10262,10100,9443,9091
2157,178396,University of Missouri-Columbia,Number admitted who enrolled,4673,4134,4772,6191,6515,6194,6501,6138,6089,5589,5783,4838,4838,4718,4668,4669,4439
2158,178396,University of Missouri-Columbia,Percent of applicants admitted,77.8%,78.1%,74.7%,78.1%,77.7%,78.6%,81.5%,81.1%,81.0%,83.0%,85.1%,78.1%,78.1%,82.7%,79.8%,80.9%,78.6%
2159,178396,University of Missouri-Columbia,Percent of admitted who enrolled,31.7%,32.3%,30.3%,36.0%,39.6%,37.6%,38.8%,41.8%,36.4%,40.9%,46.9%,47.3%,47.3%,46.0%,46.2%,49.4%,48.8%
2160,178402,University of Missouri-Kansas City,Reporting period,,,,,,Fall 2013,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002
2161,178402,University of Missouri-Kansas City,Number of applicants,6378,5065,5138,4428,4295,4367,5580,4215,4398,4226,3276,3458,3228,3606,4402,2758,2480
2162,178402,University of Missouri-Kansas City,Number admitted,3602,3249,3179,2777,2760,1441,2887,2345,2996,2628,2384,2088,2299,2776,3702,2104,1941
2163,178402,University of Missouri-Kansas City,Number admitted who enrolled,1197,1244,1212,1049,1073,1078,1152,1161,1146,1004,1007,954,955,1028,921,788,780
2164,178402,University of Missouri-Kansas City,Percent of applicants admitted,56.5%,64.1%,61.9%,62.7%,64.3%,33.0%,51.7%,55.6%,68.1%,62.2%,72.8%,60.4%,71.2%,77.0%,84.1%,76.3%,78.3%
2165,178402,University of Missouri-Kansas City,Percent of admitted who enrolled,33.2%,38.3%,38.1%,37.8%,38.9%,74.8%,39.9%,49.5%,38.3%,38.2%,42.2%,45.7%,41.5%,37.0%,24.9%,37.5%,40.2%
2202,179557,Southeast Missouri State University,Reporting period,,,,,,Fall 2013,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002
2203,179557,Southeast Missouri State University,Number of applicants,4682,4977,5184,4622,4750,4388,4161,4161,4144,4165,4244,4111,4854,4060,3903,3910,3441
2204,179557,Southeast Missouri State University,Number admitted,3883,4208,4293,3896,4027,3750,4046,4050,4022,3835,3723,3618,3353,3619,3550,3238,1829
2205,179557,Southeast Missouri State University,Number admitted who enrolled,1573,1803,1858,1703,1849,1729,1888,1904,1928,1805,1828,1805,1518,1679,1500,1495,1566
2206,179557,Southeast Missouri State University,Percent of applicants admitted,82.9%,84.5%,82.8%,84.3%,84.8%,85.5%,97.2%,97.3%,97.1%,92.1%,87.7%,88.0%,69.1%,89.1%,91.0%,82.8%,53.2%
2207,179557,Southeast Missouri State University,Percent of admitted who enrolled,40.5%,42.8%,43.3%,43.7%,45.9%,46.1%,46.7%,47.0%,47.9%,47.1%,49.1%,49.9%,45.3%,46.4%,42.3%,46.2%,85.6%
2226,180461,Montana State University,Reporting period,,,,,,Fall 2013,Fall 2012,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2006,Fall 2005,Fall 2003,Fall 2002,Fall 2001
2227,180461,Montana State University,Number of applicants,18637,16769,15996,14816,13799,12581,12081,9417,8033,6245,5768,6197,6197,5124,4380,4072,3641
2228,180461,Montana State University,Number admitted,15226,13937,13256,12277,11570,10630,6955,5786,5106,4155,3696,4091,4091,3784,3547,3456,3156
2229,180461,Montana State University,Number admitted who enrolled,3387,3356,3503,3018,2941,2914,2705,2623,2316,2070,2100,2216,2216,2236,2165,2120,1894
2230,180461,Montana State University,Percent of applicants admitted,81.7%,83.1%,82.9%,82.9%,83.8%,84.5%,57.6%,61.4%,63.6%,66.5%,64.1%,66.0%,66.0%,73.8%,81.0%,84.9%,86.7%
2231,180461,Montana State University,Percent of admitted who enrolled,22.2%,24.1%,26.4%,24.6%,25.4%,27.4%,38.9%,45.3%,45.4%,49.8%,56.8%,54.2%,54.2%,59.1%,61.0%,61.3%,60.0%
2232,180489,The University of Montana,Reporting period,,,,,,Fall 2013,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002
2233,180489,The University of Montana,Number of applicants,5475,6182,6660,5600,5345,4820,5327,5609,6092,6163,5342,4756,7556,6294,4452,3714,3899
2234,180489,The University of Montana,Number admitted,4829,5727,6156,5097,4956,4542,5006,5274,5748,5849,5118,4536,7188,5309,4133,3485,3749
2235,180489,The University of Montana,Number admitted who enrolled,1535,1671,1620,1750,2013,1967,2182,2171,2437,2468,2412,2111,3581,2165,2149,1802,1991
2236,180489,The University of Montana,Percent of applicants admitted,88.2%,92.6%,92.4%,91.0%,92.7%,94.2%,94.0%,94.0%,94.4%,94.9%,95.8%,95.4%,95.1%,84.4%,92.8%,93.8%,96.2%
2237,180489,The University of Montana,Percent of admitted who enrolled,31.8%,29.2%,26.3%,34.3%,40.6%,43.3%,43.6%,41.2%,42.4%,42.2%,47.1%,46.5%,49.8%,40.8%,52.0%,51.7%,53.1%
2268,181394,University of Nebraska at Omaha,Reporting period,,,,,,Fall 2013,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002
2269,181394,University of Nebraska at Omaha,Number of applicants,8170,9158,5549,5581,5750,4955,4536,4625,4562,4845,4295,3891,3864,3742,3618,3994,4094
2270,181394,University of Nebraska at Omaha,Number admitted,6673,7924,4799,4238,4514,3507,3630,3503,3445,3896,3622,3341,3309,3316,3156,3383,3518
2271,181394,University of Nebraska at Omaha,Number admitted who enrolled,2151,2100,2069,2062,1848,1889,1761,1785,1789,1816,1816,1680,1708,1758,1643,1537,1876
2272,181394,University of Nebraska at Omaha,Percent of applicants admitted,81.7%,86.5%,86.5%,75.9%,78.5%,70.8%,80.0%,75.7%,75.5%,80.4%,84.3%,85.9%,85.6%,88.6%,87.2%,84.7%,85.9%
2273,181394,University of Nebraska at Omaha,Percent of admitted who enrolled,32.2%,26.5%,43.1%,48.7%,40.9%,53.9%,48.5%,51.0%,51.9%,46.6%,50.1%,50.3%,51.6%,53.0%,52.1%,45.4%,53.3%
2280,181464,University of Nebraska-Lincoln,Reporting period,,,,,,Fall 2013,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2002,Fall 2002
2281,181464,University of Nebraska-Lincoln,Number of applicants,14956,14947,11193,9724,11865,10929,10350,10022,9768,9455,9709,9598,7993,7474,6871,7631,7631
2282,181464,University of Nebraska-Lincoln,Number admitted,11906,9623,8425,7425,8293,6999,6662,5943,6089,5943,6122,5978,5858,5633,5118,5974,6836
2283,181464,University of Nebraska-Lincoln,Number admitted who enrolled,4816,4905,4860,4628,4652,4420,3937,4093,4075,3986,4200,4235,3849,3560,3266,3653,3653
2284,181464,University of Nebraska-Lincoln,Percent of applicants admitted,79.6%,64.4%,75.3%,76.4%,69.9%,64.0%,64.4%,59.3%,62.3%,62.9%,63.1%,62.3%,73.3%,75.4%,74.5%,78.3%,89.6%
2285,181464,University of Nebraska-Lincoln,Percent of admitted who enrolled,40.5%,51.0%,57.7%,62.3%,56.1%,63.2%,59.1%,68.9%,66.9%,67.1%,68.6%,70.8%,65.7%,63.2%,63.8%,61.1%,53.4%
2304,182281,University of Nevada-Las Vegas,Reporting period,,,,,,Fall 2013,Fall 2012,Fall 2011,Fall 2009,Fall 2009,Fall 2008,Fall 2007,Fall 2005,Fall 2004,Fall 2003,Fall 2002,Fall 2001
2305,182281,University of Nevada-Las Vegas,Number of applicants,11612,9872,8533,7603,7408,7343,6366,5801,7800,7800,8679,7875,6952,7042,6162,5538,5587
2306,182281,University of Nevada-Las Vegas,Number admitted,9527,8003,7064,6722,6437,6250,5133,4746,6057,6057,6317,5348,5663,5681,4938,4547,4463
2307,182281,University of Nevada-Las Vegas,Number admitted who enrolled,4144,4140,3859,3784,3865,3773,3294,2870,3236,3236,3352,2872,3138,3271,2976,2502,2541
2308,182281,University of Nevada-Las Vegas,Percent of applicants admitted,82.0%,81.1%,82.8%,88.4%,86.9%,85.1%,80.6%,81.8%,77.7%,77.7%,72.8%,67.9%,81.5%,80.7%,80.1%,82.1%,79.9%
2309,182281,University of Nevada-Las Vegas,Percent of admitted who enrolled,43.5%,51.7%,54.6%,56.3%,60.0%,60.4%,64.2%,60.5%,53.4%,53.4%,53.1%,53.7%,55.4%,57.6%,60.3%,55.0%,56.9%
2310,182290,University of Nevada-Reno,Reporting period,,,,,,Fall 2013,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2005,Fall 2005,Fall 2003,Fall 2002,Fall 2001
2311,182290,University of Nevada-Reno,Number of applicants,9531,9721,9644,10454,8832,7857,7768,6419,5930,5127,4920,4683,4793,4793,4020,4142,3509
2312,182290,University of Nevada-Reno,Number admitted,8402,8557,7986,8208,7408,6597,6375,5627,5312,4457,4450,4111,4138,4138,3550,3738,3323
2313,182290,University of Nevada-Reno,Number admitted who enrolled,3691,3643,3353,3851,3387,2994,2884,2648,2764,2172,2296,2278,2432,2432,2097,2185,1992
2314,182290,University of Nevada-Reno,Percent of applicants admitted,88.2%,88.0%,82.8%,78.5%,83.9%,84.0%,82.1%,87.7%,89.6%,86.9%,90.4%,87.8%,86.3%,86.3%,88.3%,90.2%,94.7%
2315,182290,University of Nevada-Reno,Percent of admitted who enrolled,43.9%,42.6%,42.0%,46.9%,45.7%,45.4%,45.2%,47.1%,52.0%,48.7%,51.6%,55.4%,58.8%,58.8%,59.1%,58.5%,59.9%
2406,185828,New Jersey Institute of Technology,Reporting period,,,,,,Fall 2013,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002
2407,185828,New Jersey Institute of Technology,Number of applicants,8123,7254,7222,6045,4777,4344,4216,4068,4409,4315,5068,3027,2891,2562,2538,2566,2591
2408,185828,New Jersey Institute of Technology,Number admitted,5171,4453,4283,3673,3028,2844,2684,2787,2959,2121,3369,1941,1984,1831,1469,1750,1603
2409,185828,New Jersey Institute of Technology,Number admitted who enrolled,1286,1114,1098,1108,1050,1029,1045,1015,963,991,916,813,853,778,673,723,654
2410,185828,New Jersey Institute of Technology,Percent of applicants admitted,63.7%,61.4%,59.3%,60.8%,63.4%,65.5%,63.7%,68.5%,67.1%,49.2%,66.5%,64.1%,68.6%,71.5%,57.9%,68.2%,61.9%
2411,185828,New Jersey Institute of Technology,Percent of admitted who enrolled,24.9%,25.0%,25.6%,30.2%,34.7%,36.2%,38.9%,36.4%,32.5%,46.7%,27.2%,41.9%,43.0%,42.5%,45.8%,41.3%,40.8%
2712,196097,Stony Brook University,Reporting period,,,,,,Fall 2013,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002
2713,196097,Stony Brook University,Number of applicants,37828,35313,34999,34146,33714,30300,27513,26911,27822,28587,25590,24060,21292,18202,17699,16909,16946
2714,196097,Stony Brook University,Number admitted,15880,14899,14233,13995,13938,11963,11023,10536,11395,11411,11090,10382,10066,9194,8702,8564,11222
2715,196097,Stony Brook University,Number admitted who enrolled,3383,3167,2934,2836,2855,2709,2676,2521,2742,2806,2894,2768,2718,2507,2138,2181,2419
2716,196097,Stony Brook University,Percent of applicants admitted,42.0%,42.2%,40.7%,41.0%,41.3%,39.5%,40.1%,39.2%,41.0%,39.9%,43.3%,43.2%,47.3%,50.5%,49.2%,50.6%,66.2%
2717,196097,Stony Brook University,Percent of admitted who enrolled,21.3%,21.3%,20.6%,20.3%,20.5%,22.6%,24.3%,23.9%,24.1%,24.6%,26.1%,26.7%,27.0%,27.3%,24.6%,25.5%,21.6%
2850,197869,Appalachian State University,Reporting period,,,,,,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002,Fall 2001
